run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,amp_tsr,phase_tsr,amp_cp,phase_cp,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upup,mean_upvp,mean_upwp,mean_vpvp,mean_vpwp,mean_wpwp,k,exp_unc_mean_u,exp_unc_mean_v,exp_unc_mean_w
0,1.200142766497462,0.024395637911136615,23.0,26.94,14.0,4.0,3.102084437715615,-0.01092079476169763,1.094749670814794,0.032710070698751766,0.8141641481685898,0.06703892588973884,0.07204190955288547,0.04523224110537458,0.05557400523825347,0.5770633746023022,0.002154884145504999,0.002485358533608816,0.011862920342964723,9.193996064694575e-06,0.0021534574265066326,0.00027495902573028663,0.003428743927439481,0.005474052080540277,0.018851128312997754,3.000436899852716,10.970957737977177,3.01290193245479,23.0,26.94,0.0,0.25,0.4807732482695845,-0.18324111684474875,-0.26040482272743837,0.2140468168738789,0.23218927753029778,0.15453875279922946,0.04575767543191138,-0.0008739771844779001,-0.0033116723123402716,0.05384344453329032,0.0019226536542170077,0.023851918723192193,0.06172651934419694,0.08798327170940917,0.07215361499978466,0.06777920091465515
1,1.2001276385224275,0.021275645437032205,23.0,26.79,13.0,4.0,2.996201543358823,0.0334209859865296,1.090669572494302,0.02659838912248603,0.5523753556319654,0.07115914788685453,0.047118992853007316,0.04326119460624803,0.05944071519084973,0.5498073685280074,0.007228924711792648,0.006287037178561404,0.014535529775369548,9.040937544051649e-06,0.002080223437558761,0.00027496555386692466,0.011502786926941757,0.009306669656403272,0.023108469041906877,3.0000375397715793,5.78664712733084,3.00859211299006,23.0,26.79,0.0,0.25,0.45320000042259967,-0.13220132439156737,-0.21577704503442993,0.20774998625828509,0.25129217053215713,0.18068635240995906,0.043102891152184776,0.0033262003491116854,-0.004368884904121904,0.06306411556020544,-0.005790534225296568,0.03260448729029347,0.06938574700134184,0.05468641311139051,0.07622948641867172,0.11660245105054932
2,1.2005313299232738,0.030322558986649012,19.0,26.82,26.0,8.0,2.899223401076977,0.05667501996195789,1.063502839223576,0.02118587435720692,0.8168128003268591,0.07230775810117984,0.01413592058018143,0.04867692576298432,0.05896575043603431,0.5819592873181201,0.009535995514356672,0.012780171217532197,0.015183325037338734,8.898956171974058e-06,0.0020111811264272575,0.00027477900564938467,0.007972297009085421,0.011064065101964999,0.012696774554742062,7.000097535849582,9.714730506120675,7.036687645756996,19.0,26.82,0.0,0.25,0.4659571608119404,-0.09388796437773782,-0.21628772387782152,0.2108251130035538,0.22621265985937683,0.15525226532402372,0.044418809329052684,0.0029585142497601355,-0.006466358290521934,0.051139406810051906,0.002470178387803219,0.0240878545929161,0.059823035366010344,0.030403804054365952,0.04718412425110201,0.02507559403417506
3,1.1998846830985916,0.03869696446774204,14.0,26.78,41.0,13.0,2.801716741049277,0.10114821807378074,1.0638097966535827,0.028510015250902153,1.0203993302787377,0.06835196419290045,0.012476246085785854,0.06201595097820998,0.056077459094891764,0.5961308518531144,0.0064701513987488034,0.00948402586907577,0.01016953458267763,8.766177307646142e-06,0.0019451016636160762,0.000275075336831049,0.0039098993152591865,0.006828071791281414,0.006161816410310722,12.00057272167253,19.821507953329668,12.227699930991822,14.0,26.78,0.0,0.25,0.4517097532298836,-0.1132223091910205,-0.20302503921327666,0.20148574904991157,0.19828243301787898,0.1679949590097011,0.040580605578989605,-0.002644715789224419,-0.008499752060350387,0.039300535406603755,0.007124151084358082,0.028211264661805478,0.054046202823699416,0.04158619537702927,0.02717531715535025,0.04723832742664117
4,1.2000641918020107,0.03005161777525916,14.0,26.93,40.0,13.0,2.6991726168004653,0.12447602028637303,1.040934375200248,0.0147732076403711,0.37702300998569543,0.07439137535671139,2.0646466162670825,0.04707946472066514,0.05972434483546756,0.5417100116408545,0.009275825011750316,0.008628489090606708,0.010001746731144802,8.625601617924686e-06,0.001874056891537493,0.00027499132819214575,0.005605342483890436,0.006341131216937035,0.006060694182104667,12.000269790759754,19.96716669887547,12.235239198290445,14.0,26.93,0.0,0.25,0.4693223557536282,-0.11672181323848496,-0.1786017014352606,0.18679222566732567,0.21985837238088138,0.14912004137334184,0.03487781703601822,0.002213178762976949,-0.0038391685987861895,0.04831897562084595,0.0015763438661075483,0.022228187827068396,0.05271249024196628,0.027797725919837153,0.034672637221487314,0.03161180530401257
5,1.2001436274509805,0.024282483683960056,14.0,26.75,38.0,12.0,2.600549417450552,0.15803235918998526,1.0401482737121621,-0.0402206856351155,1.165991750596369,0.08240987020253022,2.045469605724263,0.04877418966276837,0.0643195038748096,0.4970230746175155,0.004608520496043027,0.010974665794163944,0.010438270538997145,8.493249068746738e-06,0.0018057040580879882,0.00027495471166387567,0.0029281447783967136,0.007698432851001897,0.006646450660061486,11.000896654806159,16.86105220580142,11.182872849606541,14.0,26.75,0.0,0.25,0.4882394034430835,-0.07859960711320536,-0.19060745102987972,0.19767706336471022,0.21429106934329617,0.18592603489729978,0.039060885343847114,-0.006439304301310714,-0.009056568522630386,0.045902618918014275,0.007441881024856175,0.0345549341818662,0.059759219221863794,0.03472992027215455,0.038663376524881256,0.04237156232231195
6,1.2002172020123838,0.020178330697801415,14.0,26.92,37.0,12.0,2.4978913164950374,0.18179021638624726,1.0262759150018297,0.06488539912632055,2.1432586266030573,0.08975491347823407,2.018992476991819,0.059027551596010606,0.06886374801412869,0.45849009153721987,0.0067551362658856764,0.007504250474543306,0.007960166379168146,8.358284351088157e-06,0.0017343975552911702,0.0002749200049727221,0.0042920290025237045,0.005809758185195946,0.005076523581101929,11.000404174105824,18.928080410383807,11.313966178092565,14.0,26.92,0.0,0.25,0.456970154906735,-0.11231242730614861,-0.1459651703317992,0.18658793850939293,0.18967643646065643,0.16729365566941606,0.03480156458834888,0.0023367318414551025,-0.009536854456970287,0.0359632221122739,0.0037791578201816283,0.02797633628016778,0.04937056149039528,0.02976081779836983,0.02943909368518372,0.035563095624729785
7,1.2002673802042418,0.017197097230591363,14.0,26.73,35.0,11.0,2.3988016453270085,0.19904983758883155,1.0063332752166019,0.0834333364541354,2.090490044422166,0.09514870766479394,1.9907978124638974,0.0709422060242474,0.07328604897330396,0.43418712281956817,0.012592007117263616,0.008627454740990489,0.01344268359102184,8.231145851869888e-06,0.0016655433727397495,0.0002748956742464058,0.00845943458858332,0.006534105184935827,0.009040499134645195,10.000094005464385,16.42848552157099,10.091944395593268,14.0,26.73,0.0,0.25,0.40619622465277827,-0.07863296596760211,-0.12555145333463089,0.1899344256700751,0.1763234640806016,0.13968135200710946,0.03606090001999499,-0.0017530297672944816,-0.008557548238399493,0.031077733472407037,0.003114874016843285,0.01950321675206955,0.04332092512223579,0.06346654472036238,0.03931583403813285,0.03120555274708536
8,1.200296159813809,0.014728708785161311,14.0,26.89,34.0,11.0,2.300575520448156,0.21730392029188828,1.0010320246781192,0.1030019419533698,0.7968697986888083,0.10149612312814309,0.7125485532753937,0.08175236970056536,0.07637360544197369,0.40703623947871065,0.00516213785104309,0.00569293661278847,0.004979952377460249,8.108410047993204e-06,0.0015973140581148522,0.0002748821032322647,0.003467992941521681,0.004926634997129527,0.0033725881111150826,10.000542791974397,17.971924224604596,10.666549893953961,14.0,26.89,0.0,0.25,0.3553156058784135,-0.05830124233102228,-0.06512179985620577,0.167817624825934,0.1574178414811481,0.12292481366404476,0.02815182245563323,-0.0021925556164862523,-0.005543612778744466,0.02477075710508675,0.0011376892394148624,0.015104648483923391,0.034013614022321684,0.05207889689913311,0.029348988386123084,0.03487660071242171
9,1.2003142237982662,0.012795764599214847,14.0,26.69,32.0,10.0,2.1996575270217495,0.23835163116632094,0.9880264251196338,0.12066491891035673,2.0401088061325514,0.10827309601484104,1.963438190285081,0.0920762222367958,0.0807246271179896,0.380028906248537,0.006001609315764004,0.008332013604286446,0.00771711684129919,7.985860183895915e-06,0.0015272339399542937,0.0002748729758051707,0.00429330750414637,0.006520932936706339,0.005534535757345334,9.000318698476322,14.253470803921497,9.228140982677797,14.0,26.69,0.0,0.25,0.3285985022838414,-0.05629917225468416,-0.06598148144038697,0.1603486661125899,0.15161445833689102,0.1277709325368671,0.025701564032706185,-0.0021115740182865847,-0.007339843602365659,0.022977883297255246,0.0028829591165050084,0.016318978809220338,0.03249921306959089,0.052146868755088976,0.024486729146971718,0.04059342469503516
