run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,amp_tsr,phase_tsr,amp_cp,phase_cp,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upup,mean_upvp,mean_upwp,mean_vpvp,mean_vpwp,mean_wpwp,k,exp_unc_mean_u,exp_unc_mean_v,exp_unc_mean_w
0,0.800137941919192,0.004761498793474211,18.0,33.84,23.0,7.0,1.8991543430777518,0.2477596002167717,0.9223179937111174,0.1713359356192358,1.8496643528999397,0.17101272007300827,1.8727809039045615,0.12436502514386237,0.12338801226297202,0.29041380108031,0.0012737275077155312,0.0020513296700155575,0.006340592254593848,1.1465937301467804e-05,0.002966632907727541,0.0006185319844076746,0.001178011902953726,0.0069278141585907265,0.005887037842755643,6.0068073180609245,9.073741417437043,6.803345343181442,18.0,33.84,-3.0,0.0,0.8819614774728372,-0.024863320656834848,-0.03083296504160898,0.04308774484483282,0.025507230808082707,0.012480264171706258,0.0018559675373872053,-2.491424768434274e-05,-0.00028707598343824823,0.0006504134513934272,7.02579537258732e-06,0.0001557078125534544,0.0013310444006670434,0.006607487173706508,0.0016867259761481881,0.0017665331077406248
1,0.8001301294191918,0.004764100509594492,18.0,33.84,23.0,7.0,1.899787288471713,0.25476879293842236,0.9371179885512455,0.17780101839752582,1.8550122929780724,0.17785511683131935,1.8774160139638791,0.12929343835735457,0.12886356020636724,0.29543900030923587,0.0019017799367990567,0.005017310466949669,0.00503182907743361,1.1467092500184398e-05,0.0029676984653958776,0.000618544931871827,0.0017588599731101612,0.00760961558701571,0.004692988836909006,6.003054071423454,12.981221679339903,7.275397300371637,18.0,33.84,-2.75,0.0,0.8974799369748735,-0.026341856034883274,-0.02942306483517538,0.03732990879936823,0.024947274768311573,0.011784711697257694,0.001429254961603555,-3.399675622981086e-06,-0.00021178020305087004,0.0006221700642878684,1.756122731086923e-06,0.0001388355500308354,0.0010951302879611295,0.007256596705294625,0.001646078880612645,0.003298695891249696
2,0.8001361268939395,0.0046748053914002835,18.0,33.84,23.0,7.0,1.8991156375118086,0.2515383851106787,0.9278668116030101,0.17262520589366898,1.867060316842167,0.17262128707327054,1.8903716378664,0.12550978531829282,0.12499662506312606,0.2884525317630797,0.002106488110028003,0.006330516745021083,0.009513551674996701,1.1465911530676448e-05,0.0029665963859512507,0.0006185351144769867,0.0019481827720196371,0.008178070793685873,0.008807920440125976,6.002488798173951,13.932522193403042,6.356156537197149,18.0,33.84,-2.5,0.0,0.9029700030729453,-0.02592392678475748,-0.025142406134912934,0.03254057303381516,0.022997677492966405,0.01130888850074808,0.0010585545425975495,1.4278060077527925e-05,-0.00016185650272383453,0.0005287262214688298,-1.5544891926796444e-05,0.00012785057675445752,0.0008575656704104184,0.006886774633124171,0.002568496887187012,0.0042707515420649595
3,0.8001341482649845,0.004808301195524437,18.0,33.85,23.0,7.0,1.8995522910557585,0.2585514435796173,0.9336587463076911,0.17790215185519329,1.862858694655255,0.17846531956134656,1.884958541894496,0.13070876980465296,0.13082065017083813,0.29517139599222947,0.0031767892603174926,0.006126631588301191,0.011791049512450722,1.1466655657691861e-05,0.0029673024440767027,0.0006185385155494346,0.0029380441274395003,0.00808057228799189,0.010910984733534496,6.001094412297388,13.85811836001367,6.231649562357769,18.0,33.85,-2.25,0.0,0.7922230989596716,-0.020680757133695604,-0.033528391262061,0.06295240595227343,0.0714609898142211,0.03720588229302759,0.003961754861246357,0.0009095054865791656,-0.00015839736363876846,0.005105062127352744,0.00033937152375432137,0.0013838409965473547,0.005225328992573227,0.012072950494132343,0.005691652781448844,0.0027524285442078983
4,0.8001399147727274,0.004705275949518332,18.0,33.84,23.0,7.0,1.8997437328422866,0.25277248092846544,0.9306820781315008,0.17470759602344782,1.8589910410125978,0.1746427346430601,1.8816984542102073,0.12764484432935286,0.12719340440580157,0.29008572392620513,0.002518747869057658,0.0035277264914211856,0.008969300386496513,1.1466873209117013e-05,0.002967549521237297,0.0006185294246559278,0.002329458427224195,0.00716368809373344,0.008305810282004568,6.001741036131645,10.960536564751393,6.4007979427237665,18.0,33.84,-2.0,0.0,0.9044412132046468,-0.03958946709529388,-0.021196710988712793,0.04007534035766924,0.038482203332659504,0.020517873306865695,0.0016382656970972168,0.00014042236743373965,-0.0001619117578786681,0.0017047679354563723,-0.0001994735236097091,0.00043086594051803016,0.0018869497865358095,0.009499301743898656,0.005604050575281178,0.0075371473480563955
5,0.8001403093434344,0.004643451749306912,18.0,33.84,23.0,7.0,1.8996316131814337,0.2541579217141283,0.9272786280825414,0.17333350772351888,1.8520478425058207,0.1733130174010626,1.8744764523716637,0.12756643165634862,0.12722179511335777,0.28825519706595876,0.0024561461452451286,0.0055011369237428975,0.012092660607331489,1.1466688509147897e-05,0.0029673737030109,0.0006185286140728414,0.0022715616227412107,0.007800711711218318,0.011189642512225168,6.001830860191944,13.458420630262873,6.220210980592676,18.0,33.84,-1.8,0.0,0.9032627417528769,-0.055241869336247314,-0.024718750024696805,0.06989431130304193,0.09249626981707793,0.046493516954613436,0.005120628772104147,-0.000941802469531813,3.267798103191053e-05,0.008552858458671701,0.000135873659621807,0.0021609647807032425,0.007917226005739545,0.013224667285376501,0.013101870411684296,0.012538743606342438
6,0.8001364425505051,0.004757251603542363,18.0,33.84,23.0,7.0,1.8993563019645916,0.2476859273550962,0.9214392448525998,0.17024779113394686,1.8669404516518584,0.17000549078875482,1.8895281056272026,0.12507144724791192,0.12462122422017434,0.28568239887936314,0.0018601110092104024,0.0046637880216578555,0.011247382139505801,1.1466285724474601e-05,0.0029669598044584798,0.0006185342514890751,0.0017203227997914757,0.007482407362740714,0.010408758100166593,6.0031919898039074,12.558232749654096,6.254627716753803,18.0,33.84,-1.6,0.0,0.928274024990374,-0.06705271479479805,-0.029571654095365597,0.08293661446375473,0.1062478626037765,0.053923983079430436,0.006876300451307427,-0.0024296423441910846,5.7676831476305594e-05,0.011285044984541463,7.4136851173896e-05,0.0029068780862671296,0.01053411176105801,0.012154937609165934,0.015421433218337612,0.008128352252430646
7,0.8001389678030304,0.004737604737341915,18.0,33.84,23.0,7.0,1.8992614409424162,0.2565177543500738,0.9324114476589679,0.17896409150001083,1.867015529694909,0.17949073892061002,1.889528502918638,0.13101554688910938,0.1319310463747512,0.29246587911604177,0.0018325698382414878,0.015667425154115715,0.019477120776081838,1.1466121588887816e-05,0.0029668175764155655,0.0006185309898454429,0.0016948515733560656,0.014991641447246878,0.018015921219427612,6.003288562914272,8.966408742177116,6.084785099284634,18.0,33.84,-1.5,0.0,0.9236130972747295,-0.07510321972806581,-0.03461142684366246,0.07831121305783818,0.08836256165448024,0.05680217519657219,0.006130705993756659,-0.0004551951318459547,1.5272413413866097e-05,0.007805477673889883,0.00036205809160240563,0.0032254686452227307,0.008580826156434636,0.01240053740062703,0.009072914143652553,0.009151727194165503
8,0.8001364425505051,0.0047922082774812256,18.0,33.84,23.0,7.0,1.8993313379815355,0.253237393420074,0.9312830791672383,0.17496115382801164,1.8593725275784498,0.17490250281734773,1.8819766802333602,0.12675972558259033,0.12631481581009407,0.2864927448611555,0.0012906780963118291,0.007534177872333075,0.013403669198143491,1.1466252527876678e-05,0.002966927792256253,0.0006185348275786023,0.0011936884390593872,0.008828977053266194,0.012401118719836459,6.006630042342766,13.853306273308656,6.1791827958529035,18.0,33.84,-1.4,0.0,0.9269749601839462,-0.07925734146553134,-0.0390467172846268,0.08476699920852851,0.09547523084566178,0.06748499503622457,0.0071831666764811675,-2.9030710021273152e-06,0.0004969768072065779,0.00911264142283947,0.0003248223933356981,0.004552786984156981,0.010424297541738809,0.01127037958471444,0.011297546436854053,0.007471674682785128
9,0.800139668769716,0.0047500553858577325,18.0,33.85,23.0,7.0,1.8989339631411841,0.2519075601126112,0.932804647463347,0.17127999013443815,1.8570981771930846,0.17178024798987207,1.8804183805100416,0.12575635169599894,0.12559077926694714,0.28943495400252195,0.0023924351841385937,0.006510034837293924,0.007917634789705606,1.1465557369899757e-05,0.002966277049484629,0.0006185299291613983,0.0022126389536651805,0.008267356640524123,0.007336479210587584,6.0019292921062615,13.974937697284574,6.514669834861101,18.0,33.85,-1.3,0.0,0.8859756252751694,-0.10246561516501591,-0.034739747728487,0.12164609146473405,0.11718922932924075,0.08523914418995482,0.014793087247162226,0.004387165959585132,-0.00012500435468028632,0.013728983194607634,0.00024786753872325636,0.007263419679616905,0.017892745060693382,0.024152070406021776,0.017902062349547623,0.01411816790640381
