run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,amp_tsr,phase_tsr,amp_cp,phase_cp,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upup,mean_upvp,mean_upwp,mean_vpvp,mean_vpwp,mean_wpwp,k,exp_unc_mean_u,exp_unc_mean_v,exp_unc_mean_w
0,0.6000652503027857,0.004720151117167034,20.0,44.77,44.0,14.0,3.099423348518074,-0.06192909099368821,1.0280479773816125,0.06584946442329619,-0.04461623754269259,0.12367895731897695,2.026383988269307,0.057112791466096456,0.09660087034209948,0.3579117555419719,0.004036348070154405,0.00854991249935204,0.010569988724174145,1.838125914301705e-05,0.008607439767065989,0.001099738095229449,0.0023307187998120433,0.02009908908075898,0.006407022457778683,13.007548057751036,9.13943205298587,16.618646657225977,20.0,44.77,0.0,0.25,0.2347135646951144,-0.01386293903566396,-0.13283891807977474,0.10234184638737899,0.1137797113882647,0.08325993220412435,0.010471739300435292,0.0025153252930622287,-0.0027123200099633334,0.012943209517556521,0.00021088264328438495,0.006930816993657055,0.015172882905824433,0.018324823088752114,0.015462883141901647,0.013269596515125734
1,0.6000627045826513,0.004423211390236051,20.0,44.44,42.0,14.0,2.9995511628883404,-0.019190858847290247,1.0255859408824493,0.07065220228619198,2.0324743428520105,0.12948032713372384,2.018541194277942,0.05869514367489512,0.10040765472236862,0.3550625941206891,0.002147707307625302,0.010961490290923123,0.009192013887519874,1.8091587605959055e-05,0.008330267892993288,0.0010997472579721325,0.0012404151172080546,0.019673465990862365,0.005664409378407276,13.025820759474254,10.007024764198391,17.584842807466377,20.0,44.44,0.0,0.25,0.24504523128845793,-0.01259819962878909,-0.13281280693104422,0.10851826340664078,0.1128638734038502,0.08097158327212389,0.011773803297645139,0.002361914377648136,-0.0014757599422291115,0.012735647893959336,0.0006162926216473678,0.0065550559724517786,0.015532253582028128,0.020859251143568645,0.015806259980658054,0.012854153801319301
2,0.6000714937170653,0.004036706706203512,20.0,44.67,41.0,13.0,2.89982703694072,0.02182046299991338,1.0179494908668034,0.07795305312854242,-0.07863557036060585,0.13865393531064948,2.010547728482115,0.06212891347632877,0.10631712412981065,0.3525266025632459,0.002028458656087867,0.013420694337341568,0.013353411919157567,1.7806976134654097e-05,0.00805317871840099,0.0010997145394826741,0.001226127289064995,0.01943636825116366,0.008283631709377185,12.024037715319546,11.435337109961354,14.045573719983143,20.0,44.67,0.0,0.25,0.2354693958193859,0.009456424762191532,-0.121728415211009,0.10291239687718189,0.10348077536952816,0.07072905219607725,0.010588814904571451,0.0026843017766900582,-0.0017574557927523423,0.010706100568915982,-0.00038889028118150513,0.005001584921267103,0.01314825019737727,0.02390124183507984,0.023005693921830002,0.017013887915802457
3,0.6000794223826714,0.003897826850955116,20.0,44.93,40.0,13.0,2.7996258222890833,0.057993974542954775,1.00239920738006,0.08140349674931224,-0.09114047779812057,0.14156326265895086,2.006288121822981,0.06387624088398153,0.10762286712665224,0.3416729168849829,0.0019395405035767211,0.012857261380263028,0.012977051663801796,1.752622347810369e-05,0.0077747225452264165,0.0010996844812669853,0.0011723990991852416,0.018748924791767697,0.008063221894574965,12.025469333285129,11.384091479291385,14.15994430004897,20.0,44.93,0.0,0.25,0.23164219804191918,-0.00970076209538352,-0.11340673898912315,0.09381101548044588,0.1060991016494748,0.06825466072776087,0.008798741582025711,0.0006665495192713748,-0.0010008992187207503,0.011254761645320004,0.0014432145702827609,0.0046577643551229024,0.012355633791234309,0.017555543312806895,0.015621891564562276,0.013740793716327773
4,0.6000685565960913,0.0037521423419991967,20.0,44.56,38.0,12.0,2.699643985982706,0.08483817982755833,0.9901636845025737,0.08588603656779825,1.160332240986394,0.144899417656108,1.172333368212472,0.06639323239610193,0.1087712744591587,0.3262565295081912,0.002005829262087454,0.008558877485528377,0.011006888668263845,1.7252141355435983e-05,0.0074973470783630475,0.0010997235285216042,0.001274733066372734,0.017650595406836497,0.007235274945872547,11.019526717929265,9.748365433829242,13.526333267205196,20.0,44.56,0.0,0.25,0.2484006512557611,0.005838151453692369,-0.11266999194672592,0.08652393688795672,0.10256866155827908,0.06880533933598443,0.007484867552055573,0.00247193089972496,-0.0013019090843854832,0.010518188572795342,-0.0011542110343407672,0.004733210923354717,0.011368133524102816,0.01493884806942562,0.019807341820607956,0.014473539900467375
5,0.6000634313330648,0.0037459918807008783,20.0,44.83,37.0,12.0,2.5998037107265235,0.11671992857840385,0.9855797139399077,0.09370028276107424,1.9362936836366598,0.1532547666915565,1.9570558896138768,0.0710602359679847,0.11347827135171007,0.3269062267620275,0.0024181292417498747,0.012401261287985842,0.013972479381029133,1.6984035884791986e-05,0.0072201955660400035,0.0010997420187282487,0.001536639028279317,0.0175763583668395,0.009061142638760136,11.013022017959113,11.894138672504205,12.600497621103099,20.0,44.83,0.0,0.25,0.2225324204857566,-0.020902738661305178,-0.08753624657624519,0.08120744666660754,0.08743949732337106,0.06508782342682318,0.006593321434103038,-6.627974361778397e-05,-0.001115788778529253,0.007644126089728823,0.0011625982698679634,0.0042355716725052586,0.00923650959816856,0.017058531494865862,0.014045133883003687,0.0165499695924997
6,0.6000716332378223,0.0037253780631302563,20.0,44.43,35.0,11.0,2.5000186261690707,0.14311387234459821,0.9713119299589187,0.10078915808449683,1.9350340072707344,0.16019437996655594,1.961877873863558,0.07614676888220187,0.11908649707756204,0.3188751150149221,0.002364855249472444,0.01494472107500089,0.017845018818390845,1.672175476565502e-05,0.006942892306361074,0.0010997110818619317,0.0015889315662862495,0.01773460406402953,0.012110455448327503,10.010998848816772,14.150329597331003,10.829326877910182,20.0,44.43,0.0,0.25,0.194632828605887,-0.011687269771284441,-0.06423802712472476,0.08373333319319214,0.0895934731964376,0.06546287162768971,0.007009836116072823,-0.00035971692542997066,-0.0014904091338411045,0.008025347584214658,0.001219625404491468,0.00428451048692518,0.00965984709360633,0.023438772387369383,0.0197290274461383,0.01707781046664487
7,0.6000784472300849,0.003738466833840641,20.0,44.73,34.0,11.0,2.3992774750553387,0.17376965020655352,0.9658807541678125,0.1094171171834812,1.9151548824062303,0.16928004063638413,1.9472078322031283,0.08197754493384862,0.12480030270366611,0.3181089353698964,0.0036920431137337246,0.011800040954555143,0.012814627223108745,1.646342230997615e-05,0.006662975807423733,0.0010996857769491513,0.0024804725420758374,0.016397920472377592,0.008787138165405028,10.004374389901297,12.405573838387811,11.590670381585097,20.0,44.73,0.0,0.25,0.16795309349809132,-0.009854225645575587,-0.05149676513745066,0.07846387822243488,0.07677102377541939,0.06580708772211924,0.0061553354262660065,-3.2062306257189014e-05,-0.0022336890786494815,0.005892598463929663,0.00017780493054319208,0.004329697223743998,0.008188815556969833,0.029388254510816683,0.016893832902903593,0.022384953616671508
8,0.6000814971169689,0.00376410825959167,20.0,44.28,32.0,10.0,2.300118170775497,0.18922881373967865,0.9516329353664719,0.11411557399008762,1.8989637232111247,0.17014432950585437,1.9400590698916318,0.08434941566427079,0.12420561284178143,0.30543910367849036,0.0018611868582608599,0.009774771745421238,0.008298753754521946,1.621583210236957e-05,0.0063875283053095614,0.0010996737364635913,0.0013316104169655467,0.015517539267898528,0.006198350606150689,9.01366312815781,11.619184924420006,12.021157230777437,20.0,44.28,0.0,0.25,0.17715238894438914,-0.013454283360797296,-0.0509316309890192,0.06819087712143602,0.07093038890436865,0.05712790011682838,0.004649038145217931,-0.00028293798330548893,-0.000676481988048648,0.005030084007507576,0.00028406607229144895,0.003262924896599392,0.00647102352466245,0.017490196382687007,0.013395446740606448,0.016278932672408555
9,0.6000693879625864,0.0037479722343860726,20.0,44.59,31.0,10.0,2.199943380565718,0.20631307119638373,0.9341200150471923,0.12534872312256556,1.8578805566548715,0.18013284616655742,1.9068125365246376,0.09182598208849316,0.13175616891357048,0.29707098492142675,0.0027019325514224565,0.013210167864979985,0.011715010758081783,1.5973091773684593e-05,0.006109599917726106,0.0010997170718659674,0.0019329780224551377,0.01583017450238002,0.008548518824895266,9.00629059790471,14.42599715373191,10.563770790789862,20.0,44.59,0.0,0.25,0.13645018315842794,-0.014298088687862906,-0.027527856939533236,0.06854571614957733,0.06668898094661428,0.05195438808576174,0.004697559831331451,-0.0006006163028536769,-0.0007558052721685876,0.004446515864899244,0.000593215366562865,0.0026987095884905116,0.005921392642360604,0.024751027497444456,0.01612756423223503,0.01536222046386745
