run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,amp_tsr,phase_tsr,amp_cp,phase_cp,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upup,mean_upvp,mean_upwp,mean_vpvp,mean_vpwp,mean_wpwp,k,exp_unc_mean_u,exp_unc_mean_v,exp_unc_mean_w
0,0.4000293731231232,0.003390369374342752,20.0,59.96,29.0,9.0,1.8998148055669422,0.1997750907223219,0.9526185708962144,0.1478686821885392,1.541938561439032,0.2737876707429818,1.693159405894154,0.10669968359859297,0.19724901674845366,0.37114602753008186,0.0004804616096214504,0.0061772454777470264,0.020252516805161033,2.293539800325658e-05,0.01187129869578135,0.0024745389881706496,0.0003705410720977722,0.02751213585359781,0.015996537887342024,8.328000904813221,8.480925518504833,10.11165400002939,20.0,59.96,-3.0,0.0,0.4419614570099963,-0.010903278333218852,-0.016288574697438614,0.030768394924623806,0.021680961788752173,0.008664650245265089,0.0009465756561930362,1.044922166613571e-05,-0.00011961054589484204,0.0004700052872554914,-1.2252250391735295e-05,7.506676878281206e-05,0.0007458238561156698,0.006935675893720318,0.0017515552702865509,0.0021467139202670823
1,0.40002902902902915,0.0034120891386181583,20.0,59.96,29.0,9.0,1.899778849758486,0.19771995208496257,0.9508526107604327,0.14493142353298824,0.6905222093294091,0.268004106578808,0.8414519292642771,0.10491538688094504,0.1940532065785064,0.3669182131802382,0.0007624240309702265,0.010963217868037526,0.019813796338677452,2.29352962605445e-05,0.011871084455646804,0.002474543142491553,0.0005867951729223236,0.027872915819042453,0.015672745638510996,8.130301447955397,9.502761137102135,10.202633638664345,20.0,59.96,-2.75,0.0,0.4470324118584003,-0.01256556562505496,-0.01600600605419717,0.028773885592160323,0.021072886174008557,0.00881869915592267,0.000827832883449524,-1.1271382377756262e-06,-8.476251942881574e-05,0.00044401096782237774,2.482298530913859e-07,7.775972388990813e-05,0.0006748017875809048,0.005860133027365689,0.0026467159476872633,0.0024688418713759005
2,0.4000266203703704,0.0034779293238688773,20.0,59.96,29.0,9.0,1.899836119469958,0.19705630881209826,0.9493354605609345,0.14449903582441034,1.5501015115095313,0.26760207800059266,1.701609606859988,0.10472428709940723,0.19371686247385264,0.36702342029596385,0.0009352230349167447,0.0067995407565348345,0.011204478157458737,2.2935602293681468e-05,0.011871551814225462,0.002474572855718556,0.0007194775420003935,0.027544500012444725,0.009616340755825528,8.086604343886082,8.582431718838523,13.889011399319244,20.0,59.96,-2.5,0.0,0.44776110641799094,-0.014227852919483903,-0.01686835194951404,0.029266286113159373,0.02120233463613162,0.008686527409388679,0.0008564083178362994,1.8799426897988213e-05,-0.00010992412398879002,0.00044948274539963076,-3.306394856257361e-06,7.544631584133972e-05,0.0006906686895386349,0.005480689914715022,0.0027799164129834316,0.0022037734563761643
3,0.4000266203703705,0.0034633730060501036,20.0,59.96,29.0,9.0,1.8997854657241529,0.2052821533135107,0.9638525743712631,0.14764039614320312,1.5469773534600164,0.27437148297442915,1.6985944760627851,0.10695372804308555,0.198765829248653,0.36972054085107803,0.00084685070949995,0.011209257077695819,0.019089959190329922,2.2935441559878186e-05,0.011871241376207969,0.0024745737316766037,0.0006516138322740651,0.027899982906412175,0.015140306939938057,8.105619489974222,9.569630953462223,10.365553843884767,20.0,59.96,-2.25,0.0,0.3934934935956686,-0.008890265288874735,-0.020371371423339685,0.05159716113062606,0.051712264358997596,0.02868478068779608,0.0026619339202437,0.00036150691203431856,-0.0001461624463971036,0.0026738236807448213,0.0001902355729466018,0.0008227136880715352,0.003079235644530028,0.01082057028160448,0.005392810791953858,0.0070936116288662235
4,0.4000285285285287,0.0034106032537054936,20.0,59.96,29.0,9.0,1.8999064442957319,0.19431851641698394,0.948986350518264,0.1452115006494059,1.5478551607860824,0.2687385629472486,1.7004437627793854,0.10503148418934334,0.19400077836339022,0.3695387890065241,0.000872335153311973,0.008524205546830923,0.01698399042236559,2.2935732991339974e-05,0.01187190233972699,0.0024745492221699855,0.0006711826684680637,0.02765548607555253,0.013606521378911145,8.099541500225383,8.913528162740368,10.949207212715658,20.0,59.96,-2.0,0.0,0.44812038574032576,-0.01798747973446912,-0.0120965077419131,0.037944360493334016,0.04164335054435661,0.01803286173162478,0.0014395943187401096,0.00017204328887559538,1.4764005007333818e-05,0.0017485478951407589,3.796780854042421e-05,0.00032514339825114486,0.0017566428060660066,0.007123212345029686,0.005672909133468745,0.004265209458479974
5,0.4000295369211515,0.003425187432227029,20.0,59.95,29.0,9.0,1.899952038840828,0.1992336777861692,0.9548280312350558,0.1478990782302835,1.5449083235625605,0.27390065096748867,1.6970202327462567,0.10713680825839457,0.19830497377497963,0.37112912677372245,0.0006769073246373911,0.009923906907286338,0.02029463926797891,2.2935825019102575e-05,0.011872131963977347,0.002474537099418636,0.0005211609896190568,0.027772014181426347,0.016027664873892917,8.165305168933608,9.234740210546292,10.103203000339246,20.0,59.95,-1.8,0.0,0.4462023783013579,-0.026218147751760408,-0.013590988777583706,0.047570876611987715,0.06064233798517409,0.029033497400218915,0.00226270507406079,-0.00019759852850735377,-0.0002165213229293872,0.0036770328943360854,0.0001569268979624773,0.0008428384714172684,0.003391288219907072,0.00880886038792043,0.010562948610275642,0.00434330095667112
6,0.40002812187187203,0.003404352554112977,20.0,59.96,29.0,9.0,1.8997305012546744,0.19571966875295368,0.9547381970599206,0.14522906021591533,1.5431733469212061,0.26857833521008007,1.6938858539461616,0.10507250626569488,0.19435763166580947,0.3686903959544301,0.00039325370998690963,0.005885891549169663,0.012928151262134846,2.2935194524239408e-05,0.011870841276951214,0.0024745545958067446,0.0003038216178621818,0.027497544434803275,0.010756280876215767,8.489344698802883,8.436732037244699,12.758390416704872,20.0,59.96,-1.6,0.0,0.4489196699440807,-0.04948861376672633,-0.01937399905242151,0.05299397111316766,0.06699415934154257,0.03965175519752916,0.002808009577824937,0.0001230613440915796,-0.0001048774039699585,0.004487655797117998,5.747403827902037e-05,0.0015720649608040593,0.004433865167873497,0.005964806809594117,0.01111977839220615,0.00566871738365205
7,0.4000275275275275,0.0033476151364368076,20.0,59.96,29.0,9.0,1.8997972549302637,0.19187202499374353,0.9450884089683963,0.14400176260571115,1.54303332958255,0.26561008823200405,1.6944785447572612,0.10398525166958862,0.1915739734432041,0.3601603714491108,0.0008131816094729827,0.0057575257693619,0.008073833062615712,2.2935459852754782e-05,0.011871323250706315,0.002474561367542105,0.0006257623039829163,0.02749294594738689,0.007754822032071839,8.114546029292274,8.4178827484623,15.88854022863764,20.0,59.96,-1.5,0.0,0.43617142158167976,-0.05074374386599952,-0.017469219271141617,0.05782796904788759,0.058818051377536984,0.036959072354765615,0.0033436555765252412,0.00012480542403673283,-2.0631899307287655e-05,0.0034591302895763242,-5.1732114331879385e-05,0.001365802111778588,0.004084293988940077,0.009566644843285876,0.010249771948368722,0.004848100677118963
8,0.4000272772772775,0.0033753719786714176,20.0,59.96,29.0,9.0,1.8999596536908563,0.20238925238646555,0.9595655378391711,0.14778662881523655,1.558692003495905,0.27421141429426543,1.710431077262295,0.10692739927527037,0.19843381664541992,0.36887592195902347,0.0014336018840987081,0.006753093716161139,0.0076622641372994195,2.293600079197681e-05,0.011872355382117242,0.002474565337385365,0.0011023524324002944,0.027543829133733544,0.007539503595317976,8.036858567379864,8.57444486859965,15.984018861772947,20.0,59.96,-1.4,0.0,0.44476751739381104,-0.049699374315260704,-0.021799549604153114,0.05759234084082643,0.05840492536504097,0.043027731484635734,0.0033164626987857424,0.0004688079246865954,2.6062861866276595e-05,0.0034379570702539977,0.00019334033905136277,0.00185115402184946,0.0043027868954446,0.007606898430230594,0.009283676151157558,0.00899913212780711
9,0.400029005006258,0.003430338030023945,20.0,59.95,29.0,9.0,1.8998994005971497,0.19686092383354634,0.9537831783026037,0.1475091389271975,0.20993910419910486,0.2729351292458323,0.36088205361379794,0.10676864512538123,0.19733365468336422,0.36197990928838625,0.00089672148599411,0.008880614878151444,0.006043984309185907,2.293568005476379e-05,0.011871824589956673,0.002474543617636651,0.0006899094113207958,0.027682460703213774,0.00678720498976749,8.09420100343115,8.990952940232921,15.368214113674803,20.0,59.95,-1.3,0.0,0.4122131415765187,-0.0457853568017597,-0.018997246602061174,0.06614677181950852,0.05983859976306379,0.050929217650408205,0.004374847813203186,0.0007156285942555566,-0.0002029616685830594,0.003580209879173399,-8.30340088502384e-05,0.002593460581545168,0.0052742591369608766,0.014412564363242661,0.01344542422831456,0.012227043053787145
